,Player,Image,Link
61,Rahul Tripathi,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png?v=4,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3838
62,Shimron Hetmyer,https://scores.iplt20.com/ipl/playerimages/Shimron Hetmyer.png?v=4,https://www.iplt20.com/teams/rajasthan-royals/squad-details/1705
63,Vijay Shankar,https://scores.iplt20.com/ipl/playerimages/Vijay Shankar.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/1083
64,Mahipal Lomror,https://scores.iplt20.com/ipl/playerimages/Mahipal Lomror.png?v=4,https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/2970
65,Jonny Bairstow,https://scores.iplt20.com/ipl/playerimages/Jonny Bairstow.png?v=4,https://www.iplt20.com/teams/punjab-kings/squad-details/506
66,Shahbaz Ahmed,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png?v=4,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/13803
67,Romario Shepherd,https://scores.iplt20.com/ipl/playerimages/Romario Shepherd.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/20609
68,Abdul Samad,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png?v=4,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/19352
69,Sameer Rizwi,https://scores.iplt20.com/ipl/playerimages/Sameer Rizwi.png?v=4,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20689
70,Umesh Yadav,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/59
71,Nitish Rana,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=4,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/2738
72,Mitchell Starc,https://scores.iplt20.com/ipl/playerimages/Mitchell Starc.png?v=4,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/490
73,Rashid Khan,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/2885
74,Spencer Johnson,https://scores.iplt20.com/ipl/playerimages/Spencer Johnson.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/20699
75,Harpreet Brar,https://scores.iplt20.com/ipl/playerimages/Harpreet Brar.png?v=4,https://www.iplt20.com/teams/punjab-kings/squad-details/5441
76,Quinton De Kock,https://scores.iplt20.com/ipl/playerimages/Quinton De Kock.png?v=4,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/834
77,Marcus Stoinis,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png?v=4,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/964
78,Krunal Pandya,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=4,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/3183
79,Ricky Bhui,https://scores.iplt20.com/ipl/playerimages/Ricky Bhui.png?v=4,https://www.iplt20.com/teams/delhi-capitals/squad-details/1555
80,Sumit Kumar,https://scores.iplt20.com/ipl/playerimages/Sumit Kumar.png?v=4,https://www.iplt20.com/teams/delhi-capitals/squad-details/20706
81,Shams Mulani,https://scores.iplt20.com/ipl/playerimages/Shams Mulani.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/5884
82,Jasprit Bumrah,https://scores.iplt20.com/ipl/playerimages/Jasprit Bumrah.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/1124
83,Marco Jansen,https://scores.iplt20.com/ipl/playerimages/Marco Jansen.png?v=4,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/17068
84,Kuldeep Yadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep Yadav.png?v=4,https://www.iplt20.com/teams/delhi-capitals/squad-details/261
85,Gerald Coetzee,https://scores.iplt20.com/ipl/playerimages/Gerald Coetzee.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/20686
86,Ayush Badoni,https://scores.iplt20.com/ipl/playerimages/Ayush Badoni.png?v=4,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20586
